"","Civil.Service.grad","gradeval","Group","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"1","AO/AA",1,"DfID",2010,160,1620,0.0987654320987654,0.0987654320987654,0.654320987654321,FALSE,-0.0493827160493827,FALSE,"FALSE2010",-0.0493827160493827
"2","EO",2,"DfID",2010,200,1620,0.123456790123457,0.246913580246914,0.654320987654321,FALSE,-0.0617283950617284,FALSE,"FALSE2010",-0.0617283950617284
"3","G6/G7",4,"DfID",2010,730,1620,0.450617283950617,1.80246913580247,0.654320987654321,FALSE,-0.225308641975309,FALSE,"FALSE2010",-0.225308641975309
"4","SCS",5,"DfID",2010,100,1620,0.0617283950617284,0.308641975308642,0.654320987654321,FALSE,-0.0308641975308642,FALSE,"FALSE2010",-0.0308641975308642
"5","SEO/HEO",3,"DfID",2010,440,1620,0.271604938271605,0.814814814814815,0.654320987654321,FALSE,-0.135802469135802,FALSE,"FALSE2010",-0.135802469135802
"6","AO/AA",1,"DfID",2013,100,1810,0.0552486187845304,0.0552486187845304,0.679558011049724,FALSE,-0.0276243093922652,FALSE,"FALSE2013",-0.0276243093922652
"7","EO",2,"DfID",2013,190,1810,0.104972375690608,0.209944751381215,0.679558011049724,FALSE,-0.0524861878453039,FALSE,"FALSE2013",-0.0524861878453039
"8","G6/G7",4,"DfID",2013,950,1810,0.524861878453039,2.09944751381215,0.679558011049724,FALSE,-0.262430939226519,FALSE,"FALSE2013",-0.262430939226519
"9","SCS",5,"DfID",2013,80,1810,0.0441988950276243,0.220994475138122,0.679558011049724,FALSE,-0.0220994475138122,FALSE,"FALSE2013",-0.0220994475138122
"10","SEO/HEO",3,"DfID",2013,490,1810,0.270718232044199,0.812154696132597,0.679558011049724,FALSE,-0.135359116022099,FALSE,"FALSE2013",-0.135359116022099
"11","AO/AA",1,"DfID",2010,160,1620,0.0987654320987654,0.0987654320987654,0.654320987654321,FALSE,0.0493827160493827,TRUE,"TRUE2010",0.0493827160493827
"12","EO",2,"DfID",2010,200,1620,0.123456790123457,0.246913580246914,0.654320987654321,FALSE,0.0617283950617284,TRUE,"TRUE2010",0.0617283950617284
"13","G6/G7",4,"DfID",2010,730,1620,0.450617283950617,1.80246913580247,0.654320987654321,FALSE,0.225308641975309,TRUE,"TRUE2010",0.225308641975309
"14","SCS",5,"DfID",2010,100,1620,0.0617283950617284,0.308641975308642,0.654320987654321,FALSE,0.0308641975308642,TRUE,"TRUE2010",0.0308641975308642
"15","SEO/HEO",3,"DfID",2010,440,1620,0.271604938271605,0.814814814814815,0.654320987654321,FALSE,0.135802469135802,TRUE,"TRUE2010",0.135802469135802
"16","AO/AA",1,"DfID",2013,100,1810,0.0552486187845304,0.0552486187845304,0.679558011049724,FALSE,0.0276243093922652,TRUE,"TRUE2013",0.0276243093922652
"17","EO",2,"DfID",2013,190,1810,0.104972375690608,0.209944751381215,0.679558011049724,FALSE,0.0524861878453039,TRUE,"TRUE2013",0.0524861878453039
"18","G6/G7",4,"DfID",2013,950,1810,0.524861878453039,2.09944751381215,0.679558011049724,FALSE,0.262430939226519,TRUE,"TRUE2013",0.262430939226519
"19","SCS",5,"DfID",2013,80,1810,0.0441988950276243,0.220994475138122,0.679558011049724,FALSE,0.0220994475138122,TRUE,"TRUE2013",0.0220994475138122
"20","SEO/HEO",3,"DfID",2013,490,1810,0.270718232044199,0.812154696132597,0.679558011049724,FALSE,0.135359116022099,TRUE,"TRUE2013",0.135359116022099
"21","AO/AA",1,"DECC",2010,70,1050,0.0666666666666667,0.0666666666666667,0.659047619047619,FALSE,-0.0333333333333333,FALSE,"FALSE2010",-0.0333333333333333
"22","EO",2,"DECC",2010,110,1050,0.104761904761905,0.20952380952381,0.659047619047619,FALSE,-0.0523809523809524,FALSE,"FALSE2010",-0.0523809523809524
"23","G6/G7",4,"DECC",2010,400,1050,0.380952380952381,1.52380952380952,0.659047619047619,FALSE,-0.19047619047619,FALSE,"FALSE2010",-0.19047619047619
